City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
219,Sambava,-14.2667,50.1667,76.73,82,72,0.78,MG,broken clouds
220,Niamey,13.5137,2.1098,86.29,10,88,9.22,NE,overcast clouds
221,Nelson Bay,-32.7167,152.15,62.11,71,100,11.01,AU,overcast clouds
222,Kaitangata,-46.2817,169.8464,48.87,91,100,7.56,NZ,overcast clouds
223,Birnin Kebbi,12.4539,4.1975,76.12,15,4,9.98,NG,clear sky
224,Bonavista,48.6499,-53.1147,35.89,93,100,29.35,CA,moderate rain
225,Arlit,18.7369,7.3853,71.83,19,0,15.32,NE,clear sky
226,Alofi,-19.0595,-169.9187,78.69,89,8,8.05,NU,clear sky
227,Sayyan,15.1718,44.3244,46.45,59,7,4.56,YE,clear sky
228,Dunmore Town,25.5,-76.65,73.81,77,100,19.95,BS,overcast clouds
229,Alice Springs,-23.7,133.8833,72.95,73,100,9.22,AU,overcast clouds
230,Pasni,25.2631,63.471,71.78,35,0,18.84,PK,clear sky
231,Mahebourg,-20.4081,57.7,78.26,78,40,3.44,MU,scattered clouds
232,Haines Junction,60.7522,-137.5108,-45.45,66,96,2.3,CA,overcast clouds
233,Riyadh,24.6877,46.7219,57.34,33,0,5.7,SA,clear sky
234,Lazaro Cardenas,17.9583,-102.2,83.82,45,36,7.92,MX,scattered clouds
235,Khatanga,71.9667,102.5,-17.52,97,100,5.37,RU,overcast clouds
236,Naron,43.5167,-8.1528,60.04,93,100,11.65,ES,overcast clouds
237,Monywa,22.1167,95.1333,69.82,72,25,2.93,MM,scattered clouds
238,Linden,6.0,-58.3,87.06,52,82,5.95,GY,broken clouds
239,Qasigiannguit,68.8193,-51.1922,8.87,71,21,5.99,GL,few clouds
240,Bourail,-21.5667,165.4833,75.04,88,90,5.95,NC,overcast clouds
241,Provideniya,64.3833,-173.3,20.12,84,86,16.58,RU,overcast clouds
242,Okha,53.5739,142.9478,-5.39,88,100,24.43,RU,overcast clouds
243,Ciudad Real,39.0,-4.0,48.11,95,71,4.0,ES,broken clouds
244,Bloomington,44.8408,-93.2983,12.67,81,100,6.91,US,snow
245,Mujiayingzi,42.1167,118.7833,11.66,62,100,5.93,CN,overcast clouds
246,Shirpur,21.35,74.8833,72.84,27,5,3.87,IN,clear sky
247,Khani,41.9563,42.9566,40.57,99,100,4.23,GE,overcast clouds
248,Saint John,45.2727,-66.0677,33.8,100,100,14.97,CA,mist
249,Pisco,-13.7,-76.2167,77.05,69,0,10.36,PE,clear sky
250,Wysokie Mazowieckie,52.9166,22.5171,21.67,83,100,14.99,PL,overcast clouds
251,Itoman,26.1247,127.6694,59.02,73,0,9.22,JP,clear sky
252,Qingquan,30.4511,115.2559,39.69,50,55,2.55,CN,broken clouds
253,Chaplynka,46.3651,33.5403,28.02,66,0,6.85,UA,clear sky
254,Makokou,0.5738,12.8642,76.93,70,100,1.63,GA,overcast clouds
255,Vila Franca Do Campo,37.7167,-25.4333,65.19,89,52,16.28,PT,broken clouds
256,Ciudad Bolivar,8.1222,-63.5497,86.14,48,100,10.45,VE,light rain
257,Lieksa,63.3167,30.0167,12.18,99,77,5.37,FI,broken clouds
258,Hithadhoo,-0.6,73.0833,81.16,73,100,12.1,MV,overcast clouds
259,Leningradskiy,69.3833,178.4167,6.3,85,10,8.93,RU,clear sky
260,Khandbari,27.3747,87.2039,54.66,78,39,2.28,NP,scattered clouds
261,Wanaka,-44.7,169.15,51.12,81,100,4.83,NZ,overcast clouds
262,Simpang,-1.2667,104.0833,74.32,95,95,1.57,ID,overcast clouds
263,Barpali,21.2,83.5833,61.72,36,14,0.18,IN,few clouds
264,Itaguai,-22.8522,-43.7753,76.62,83,100,3.44,BR,overcast clouds
265,Ruwi,23.5996,58.5507,73.62,49,0,4.45,OM,clear sky
266,Madimba,-10.4,40.3333,83.52,78,20,14.97,TZ,few clouds
267,Walvis Bay,-22.9575,14.5053,67.15,82,0,17.27,NA,clear sky
268,Maridi,4.9158,29.4742,78.48,34,12,3.83,SS,few clouds
269,Samarai,-10.6167,150.6667,81.61,80,79,9.26,PG,broken clouds
270,Fereydunshahr,32.941,50.121,30.85,58,0,4.14,IR,clear sky
271,Dos Hermanas,37.2829,-5.9209,60.66,81,0,2.3,ES,clear sky
272,Natal,-5.795,-35.2094,86.65,61,20,16.11,BR,few clouds
273,Troitskoye,52.9821,84.6757,22.95,94,100,16.89,RU,snow
274,Tessalit,20.1986,1.0114,73.42,14,0,9.57,ML,clear sky
275,Sorong,-0.8833,131.25,79.11,85,100,5.7,ID,overcast clouds
276,Rantepao,-2.9701,119.8978,64.98,97,51,3.15,ID,broken clouds
277,Victoria,22.2855,114.1577,61.25,79,67,15.01,HK,broken clouds
278,Hasaki,35.7333,140.8333,32.22,43,0,11.07,JP,clear sky
279,Belyy Yar,53.6039,91.3903,13.89,91,100,2.24,RU,light snow
280,Saldanha,-33.0117,17.9442,66.25,76,100,17.63,ZA,overcast clouds
281,Seoul,37.5683,126.9778,18.84,76,0,1.14,KR,clear sky
282,Yulara,-25.2406,130.9889,78.91,35,97,3.49,AU,overcast clouds
283,Arauco,-37.2463,-73.3175,59.86,67,93,6.6,CL,overcast clouds
284,Dalmatovo,56.26,62.9362,27.99,80,100,16.93,RU,overcast clouds
285,Erenhot,43.6475,111.9767,11.59,70,5,11.01,CN,clear sky
286,Bubaque,11.2833,-15.8333,82.69,51,73,9.51,GW,broken clouds
287,Salekhard,66.53,66.6019,1.92,96,100,13.8,RU,overcast clouds
288,Redwater,33.3582,-94.2544,44.89,79,100,7.23,US,overcast clouds
289,Zhizdra,53.746,34.7395,14.88,87,100,8.97,RU,overcast clouds
290,Atyrau,47.1167,51.8833,33.82,93,40,11.18,KZ,mist
291,Drezna,55.7458,38.8497,28.24,92,100,11.25,RU,overcast clouds
292,Marabba,12.35,32.1833,84.07,22,5,8.9,SD,clear sky
293,Ajaigarh,24.9,80.2667,55.69,44,0,1.72,IN,clear sky
294,Sorland,67.667,12.6934,37.26,61,100,22.19,NO,overcast clouds
295,Kachiry,53.0675,76.1036,26.62,81,100,18.14,KZ,overcast clouds
296,Khandyga,62.6667,135.6,-43.46,100,87,1.59,RU,overcast clouds
297,Dingle,10.9995,122.6711,74.48,93,100,8.03,PH,overcast clouds
298,Airai,-8.9266,125.4092,60.73,93,100,1.41,TL,overcast clouds
299,Killybegs,54.6333,-8.45,42.51,75,7,26.02,IE,clear sky
300,Puerto Carreno,6.189,-67.4859,89.58,51,20,12.66,CO,few clouds
301,Warrington,53.3925,-2.5802,55.87,82,75,10.36,GB,broken clouds
302,San Pedro,14.35,121.0167,78.35,91,100,1.14,PH,overcast clouds
303,Berdigestyakh,62.0989,126.6992,-32.33,100,92,3.36,RU,overcast clouds
304,Hofn,64.2539,-15.2082,32.02,64,100,19.57,IS,light shower snow
305,Homer,59.6425,-151.5483,18.81,74,0,17.0,US,clear sky
306,Zlitan,32.4674,14.5687,64.92,63,76,14.61,LY,broken clouds
307,Pusad,19.9,77.5833,66.56,32,98,1.16,IN,overcast clouds
308,Kharp,66.8014,65.8081,6.03,95,100,8.41,RU,overcast clouds
309,Paide,58.8856,25.5572,19.22,90,100,7.43,EE,overcast clouds
310,La Baneza,42.3003,-5.8977,50.65,93,100,16.42,ES,overcast clouds
311,Northallerton,54.339,-1.4324,55.4,76,20,33.38,GB,light intensity drizzle
312,Puerto Escondido,15.85,-97.0667,84.72,54,100,6.26,MX,overcast clouds
313,Mersing,2.4312,103.8405,75.11,94,20,4.61,MY,few clouds
314,Vung Tau,10.346,107.0843,76.17,78,25,4.83,VN,scattered clouds
315,Palafrugell,41.9174,3.1631,58.46,54,17,5.01,ES,few clouds
316,General Roca,-39.0333,-67.5833,99.63,12,98,22.68,AR,overcast clouds
317,Masuda,34.6667,131.85,41.16,65,100,9.95,JP,overcast clouds
318,Shanhetun,44.7,127.2,-1.41,88,7,5.84,CN,clear sky
319,Aljezur,37.3191,-8.8033,60.84,94,100,10.13,PT,overcast clouds
320,Havre-Saint-Pierre,50.2334,-63.5986,37.4,69,100,29.93,CA,light rain
321,Trairi,-3.2778,-39.2689,83.57,61,100,13.51,BR,overcast clouds
322,Dukat,62.55,155.55,9.59,96,100,8.12,RU,light snow
323,Deputatskiy,69.3,139.9,-18.26,94,89,4.79,RU,overcast clouds
324,Honiara,-9.4333,159.95,76.87,87,27,3.94,SB,scattered clouds
325,Farah,32.5,62.5,43.07,56,0,2.26,AF,clear sky
326,Sur,22.5667,59.5289,74.53,56,1,3.58,OM,clear sky
327,Wanning,18.8003,110.3967,65.39,85,100,7.61,CN,overcast clouds
328,Mareeba,-17.0,145.4333,72.32,94,76,4.16,AU,broken clouds
329,Sirpur,19.4833,79.6,62.91,42,100,3.71,IN,overcast clouds
330,Maraba,-5.3686,-49.1178,89.78,66,40,4.61,BR,scattered clouds
