City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
240,Bourail,NC,75.04,-21.5667,165.4833,Hôtel Restaurant La Néra
249,Pisco,PE,77.05,-13.7,-76.2167,La Portada
256,Ciudad Bolivar,VE,86.14,8.1222,-63.5497,Paoca
258,Hithadhoo,MV,81.16,-0.6,73.0833,Pebbles Inn
265,Ruwi,OM,73.62,23.5996,58.5507,Sheraton Oman
272,Natal,BR,86.65,-5.795,-35.2094,Natal Palace Hotel
275,Sorong,ID,79.11,-0.8833,131.25,Hotel Membramo Marina
282,Yulara,AU,78.91,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
286,Bubaque,GW,82.69,11.2833,-15.8333,Chez Julio
300,Puerto Carreno,CO,89.58,6.189,-67.4859,Carreño Plaza
302,San Pedro,PH,78.35,14.35,121.0167,Hotel Takara
312,Puerto Escondido,MX,84.72,15.85,-97.0667,Hotel Barlovento
313,Mersing,MY,75.11,2.4312,103.8405,Mersing Inn Hotel
324,Honiara,SB,76.87,-9.4333,159.95,King Solomon Hotel
326,Sur,OM,74.53,22.5667,59.5289,Sur Hotel
328,Mareeba,AU,72.32,-17.0,145.4333,The Gateway Hotel
330,Maraba,BR,89.78,-5.3686,-49.1178,Portobelo
333,Kununurra,AU,80.58,-15.7667,128.7333,Kununurra Country Club Resort
335,Faanui,PF,79.25,-16.4833,-151.75,Oa Oa Lodge
336,Guaymas,MX,70.45,27.9333,-110.9,Hotel Playa de Cortéz
346,Sabang,ID,79.16,5.8933,95.3214,Sabang Hill
355,Lorengau,PG,79.27,-2.0226,147.2712,Seeadler Bay Hotel
356,Porto Seguro,BR,81.12,-16.4497,-39.0647,Terra Mater Hotel
359,Manzanillo,CU,88.74,20.3433,-77.1167,Hotel Venus
361,Hualmay,PE,75.43,-11.0964,-77.6139,Hotel Mi Choacan
367,Lahaina,US,77.81,20.8783,-156.6825,Best Western Pioneer Inn
370,Itarema,BR,83.89,-2.9248,-39.9167,Pousada Oásis
375,Villamontes,BO,89.04,-21.25,-63.5,Hoterma
376,Riberalta,BO,77.2,-10.9833,-66.1,Hotel Jomali
381,San Andres,CO,84.22,12.5847,-81.7006,Hotel Decameron Isleño
383,Kupang,ID,79.27,-10.1667,123.5833,BIB & LANG GUEST HOUSE
385,Monrovia,LR,80.37,6.3005,-10.7969,Bella Casa Hotel
390,Namatanai,PG,78.15,-3.6667,152.4333,Namatanai Hotel
391,Kita,ML,81.39,13.0349,-9.4895,Hotel Chats Rouges
395,Sao Jose Da Coroa Grande,BR,81.7,-8.8978,-35.1478,Hotel do Sol
397,Cape Coast,GH,80.42,5.1053,-1.2466,Mighty Victory Hotel
401,Necochea,AR,80.49,-38.5473,-58.7368,Cabañas Río Quequén
408,Guarapari,BR,72.9,-20.6667,-40.4975,Osmar Hotel
409,Tual,ID,81.99,-5.6667,132.75,Suita
423,Iquique,CL,73.44,-20.2208,-70.1431,Hostal Vivar
430,Viedma,AR,88.48,-40.8135,-62.9967,Níjar
437,Luba,GQ,80.49,3.4568,8.5547,Hotel Jones
439,Maine-Soroa,NE,71.78,13.2114,12.0241,Maïné-Soroa
444,Moa,CU,82.63,20.6569,-74.9403,Hotel Miraflores
447,Quatre Cocos,MU,78.1,-20.2078,57.7625,Horisun
453,Kahului,US,77.85,20.8947,-156.47,Maui Seaside Hotel
475,Sesheke,ZM,72.34,-17.4759,24.2968,Sisheke Lodge
478,Vila Do Maio,CV,81.39,15.1333,-23.2167,Residencial Jardins De Maio
484,Rocha,UY,77.22,-34.4833,-54.3333,Hotel Municipal
489,Banda Aceh,ID,77.16,5.5577,95.3222,Hotel 61
493,Hambantota,LK,75.54,6.1241,81.1185,Oasis Aurweda Resort Hambathota
494,Caravelas,BR,79.95,-17.7125,-39.2481,Pousada dos Navegantes
497,Sao Miguel Do Araguaia,BR,73.36,-13.275,-50.1628,Hotel São Miguel
